Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Lindsay Allen,CHI,G,33.0,759.0,33.0,21.0,23.0,2.5,5.3,0.474,0.3,1.1,0.297,2.2,4.2,0.522,1.0,1.3,0.786,0.4,1.8,3.8,0.8,0.2,1.6,1.6,6.4
Rebecca Allen,PHO,F-G,18.0,447.0,18.0,18.0,24.8,2.9,7.1,0.417,1.4,3.9,0.352,1.6,3.1,0.5,0.1,0.2,0.667,0.7,3.9,1.1,0.9,0.7,1.0,1.9,7.4
Laeticia Amihere,ATL,F,14.0,70.0,14.0,0.0,5.0,0.4,1.7,0.25,0.0,0.0,0.0,0.4,1.7,0.25,0.4,1.1,0.333,0.9,1.9,0.2,0.1,0.2,0.4,0.5,1.2
Ariel Atkins,WAS,G,34.0,1038.0,34.0,34.0,30.5,5.5,12.9,0.427,1.9,5.4,0.346,3.7,7.6,0.484,2.1,2.6,0.828,1.0,3.6,3.2,1.4,0.5,2.6,2.8,15.0
Amy Atwell,PHO,F,1.0,4.0,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Shakira Austin,WAS,C-F,11.0,230.0,11.0,11.0,20.9,4.6,10.5,0.443,0.1,0.4,0.25,4.5,10.1,0.45,3.3,4.9,0.667,1.9,7.3,1.0,1.4,1.0,2.5,2.6,12.6
Kierstan Bell,LVA,F,4.0,18.0,4.0,0.0,4.5,0.5,1.0,0.5,0.3,0.3,1.0,0.3,0.8,0.333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.3
Grace Berger,IND,G,10.0,91.0,10.0,0.0,9.1,0.9,2.2,0.409,0.2,0.5,0.4,0.7,1.7,0.412,0.9,1.4,0.643,0.3,1.2,0.6,0.4,0.0,0.8,1.2,2.9
Caitlin Bickle,CON,F,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
DeWanna Bonner,CON,F-G,33.0,1056.0,33.0,32.0,32.0,5.6,13.5,0.414,1.5,5.1,0.302,4.0,8.3,0.484,3.4,4.1,0.822,0.7,6.3,2.0,1.2,0.7,1.4,1.8,16.1
Aliyah Boston,IND,F-C,34.0,1053.0,34.0,34.0,31.0,5.8,11.2,0.518,0.2,0.6,0.333,5.6,10.6,0.529,1.9,2.7,0.696,3.0,9.1,3.1,0.9,1.4,2.1,3.3,13.7
Cameron Brink,LAS,F,15.0,330.0,15.0,15.0,22.0,2.7,6.9,0.398,0.7,2.1,0.323,2.1,4.8,0.431,1.4,1.7,0.84,1.2,5.3,1.7,1.1,2.3,2.3,4.0,7.5
Jaelyn Brown,DAL,G-F,7.0,52.0,7.0,1.0,7.4,0.1,0.9,0.167,0.0,0.3,0.0,0.1,0.6,0.25,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.3,0.6,1.1,0.3
Jakia Brown-Turner,WAS,G,2.0,8.0,2.0,0.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0
Kalani Brown,DAL,C,31.0,414.0,31.0,1.0,13.4,2.5,4.3,0.567,0.0,0.1,0.0,2.5,4.2,0.58,1.1,1.7,0.635,1.2,3.0,1.2,0.2,0.6,1.3,1.7,6.0
Lexie Brown,LAS,G,16.0,379.0,16.0,8.0,23.7,2.6,8.2,0.321,1.3,4.3,0.304,1.3,3.9,0.339,1.5,1.7,0.889,0.1,2.3,3.3,1.1,0.1,1.9,1.4,8.1
Kennedy Burke,NYL,G-F,32.0,389.0,32.0,3.0,12.2,1.5,3.6,0.405,0.4,1.6,0.25,1.1,2.0,0.531,0.2,0.3,0.7,0.3,1.6,0.8,0.6,0.3,0.8,1.0,3.6
Rae Burrell,LAS,G-F,30.0,434.0,30.0,0.0,14.5,1.6,4.2,0.392,0.7,1.8,0.389,0.9,2.4,0.394,2.2,2.8,0.798,0.5,1.8,1.1,0.7,0.3,0.9,1.5,6.2
Veronica Burton,CON,G,24.0,322.0,24.0,1.0,13.4,0.9,2.5,0.361,0.4,1.2,0.321,0.5,1.4,0.394,1.1,1.4,0.818,0.4,1.5,2.1,0.5,0.3,0.6,1.2,3.3
Maya Caldwell,ATL,G,18.0,330.0,18.0,6.0,18.3,2.3,5.5,0.414,0.6,2.2,0.275,1.7,3.3,0.508,0.4,0.6,0.727,1.0,2.1,1.2,0.8,0.3,1.1,1.1,5.6
Jordin Canada,ATL,G,13.0,386.0,13.0,11.0,29.7,3.0,8.0,0.375,0.8,2.9,0.289,2.2,5.1,0.424,2.8,3.7,0.771,0.5,3.5,6.1,1.5,0.2,2.5,2.6,9.7
Emma Cannon,LVA,F,5.0,9.0,5.0,0.0,1.8,0.4,0.6,0.667,0.0,0.2,0.0,0.4,0.4,1.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.2,0.0,0.8
Kamilla Cardoso,CHI,C,27.0,735.0,27.0,24.0,27.2,3.9,7.5,0.525,0.0,0.0,0.0,3.9,7.5,0.525,1.8,2.5,0.706,3.0,7.9,1.7,0.5,1.2,1.4,3.2,9.6
